AEZ_NAME,week_start,sm_surface,VV,VH,NDVI,LST,Rainfall_7d,Rainfall_7d_lag,ET,LAI,NDWI,NDMI,Temp_7d,Temp_7d_lagged,landcover,elevation,slope
Active Tista Floodplain,2022-01-01,0.15914173,-5.76169061395329,-13.478773667838563,0.5488000000000001,22.31,3.705716371536255,2.4309844970703125,8.200000000000001,0.6000000000000001,0.04138106,0.2617656,17.507982599167633,17.87037012009398,40,33,1.3866117
Tista Meander Floodplain,2022-01-01,0.15299681,-7.38664697280018,-16.112828985744763,0.4492,23.410000000000025,4.648317337036133,0.0,7.5,0.6000000000000001,-0.025512338,0.12751028,17.625635128929503,17.97089792887374,40,30,2.9639122
Karatoya-Bangali Floodplain,2022-01-01,0.10104935,-9.252054810595023,-16.69330038655898,0.4091,23.610000000000014,0.0,0.0,10.5,0.6000000000000001,0.064735174,0.24116094,17.894887361072392,18.837794785272536,10,17,0.92740995
Lower Atrai Basin,2022-01-01,0.10736376,-9.4802879938869,-18.177580023307225,0.2117,23.750000000000057,6.558669567108154,0.0,10.5,0.2,0.022280471,0.22883025,17.79281332833426,18.63680892217729,40,13,1.3783625
Active Brahmaputra-Jamuna Floodplain,2022-01-01,0.100782864,-8.074512272436625,-16.009850709622743,0.4884,23.81,4.167819976806641,2.591343402862549,8.0,0.6000000000000001,0.10847364,0.3206182,18.043685259137877,18.80961398170109,40,18,2.044861
Young Brahmaputra and Jamuna Floodplains,2022-01-01,0.25425085,-5.6978868461616425,-13.6981998244648,0.5683,23.05000000000001,0.0,0.0,9.2,0.8,0.0997389,0.37692055,18.152757989792637,18.54575609479633,10,24,1.0177696
Old Brahmaputra Floodplain,2022-01-01,0.12516314,-12.242116018209492,-19.925142160497547,0.3805,23.19000000000005,9.987643718719482,0.0,6.1000000000000005,0.4,-0.038040645,0.10870871,18.307659403483115,18.55268503824874,40,14,3.8419693
Active Ganges Floodplain,2022-01-01,0.24088526,-13.70481370374955,-23.00513245117024,0.0163,20.05000000000001,0.0,0.0,11.2,0.1,0.1707819,0.37273824,17.718978227887874,18.96098116920109,80,10,5.383606
High Ganges River Floodplain,2022-01-01,0.2034914,-9.938926326031597,-18.086594070410115,0.4455,23.250000000000057,0.0,0.0,10.0,0.8,0.036401577,0.2852214,17.472000921340225,18.892052132742776,40,12,2.11251
Low Ganges River Floodplain,2022-01-01,0.3197536,-4.34034397466161,-13.212214916260669,0.6934,23.27000000000004,0.0,0.0,11.9,1.0,0.19617486,0.5065382,17.780989946637874,19.293117050897536,40,9,2.0225782
Ganges Tidal Floodplain,2022-01-01,0.34003687,-6.126541256572315,-13.651342211386268,0.4401,23.930000000000007,3.1488494873046875,0.0,8.5,0.6000000000000001,0.004651163,0.25407797,18.248158845447392,19.570518929617776,40,4,2.2087178
Gopalganj-Khulna Bils,2022-01-01,0.45076334,-7.570007797653505,-15.315340910206102,0.5953,22.390000000000043,0.0,0.0,11.7,0.8,0.12632756,0.3820302,17.96825743175691,19.04232650030229,40,6,0.92740995
Arial Bil,2022-01-01,0.21489409,-9.275339233343924,-17.096773141632497,0.4718,23.27000000000004,0.0,0.0,10.5,0.5,0.3105023,0.62606233,18.270061747233115,19.35916290283205,40,6,2.2252872
Middle Meghna River Floodplain,2022-01-01,0.24859966,-9.004403286918702,-16.560265527833995,0.5361,24.250000000000057,0.0,0.0,9.0,0.7000000000000001,0.061150145,0.30038264,18.00249524797715,18.666012791224887,40,6,2.95851
Lower Meghna River Floodplain,2022-01-01,0.26958486,-7.336054549096463,-15.151306576697602,0.6767000000000001,22.590000000000032,5.362412929534912,0.0,12.4,8.4,0.19988848,0.512298,18.70824766613191,19.06700795491537,10,10,2.110285
Old Meghna Estuarine Floodplain,2022-01-01,0.26784644,-7.083188023319129,-14.146194742372668,0.6226,23.950000000000045,0.0,0.0,9.7,0.7000000000000001,0.18632583,0.50645286,18.010656520298596,18.64251716250465,10,12,0.92740995
Eastern Surma-Kusiyara Floodplain,2022-01-01,0.21383142,-8.777564529505135,-15.73848496248484,0.4578,23.81,6.868342399597168,5.883694171905518,8.3,0.7000000000000001,-0.02466006,0.20707358,18.20809653145926,18.387599472772536,10,20,3.447917
Sylhet Basin,2022-01-01,0.21769625,-10.177006972802602,-18.423925718274543,0.5239,22.510000000000048,8.698440551757812,0.0,6.6000000000000005,0.4,0.2260062,0.48314607,18.281396847679503,18.877519952683254,90,8,1.8543341
Northern and Eastern Piedmont Plains,2022-01-01,0.20050722,-10.397732736585809,-18.52985637556785,0.4177,22.49000000000001,6.781888484954834,0.0,7.1000000000000005,0.5,0.17746662,0.44121164,17.970675586518837,18.782130722772536,40,6,1.0212765
Chittagong Coastal Plain,2022-01-01,0.17503376,-8.488594966487085,-14.629320838972774,0.6970000000000001,23.930000000000007,3.451063394546509,0.0,14.0,1.7000000000000002,0.18729682,0.5232595,20.22441907610215,20.25394991920109,10,9,2.003672
Level Barind Tract,2022-01-01,0.12985031,-6.43552839105303,-14.275105461597462,0.5823,24.370000000000005,5.14426851272583,2.8913397789001465,10.3,0.8,0.15561225,0.40902022,17.68270590645926,18.42826632545109,40,21,1.023255
North-Eastern Barind Tract,2022-01-01,0.13634619,-7.456323836612373,-16.92429045967875,0.5277000000000001,23.33000000000004,5.146103858947754,2.9777672290802,8.200000000000001,0.7000000000000001,0.02550911,0.25894737,17.707968648274743,18.12039337158205,40,28,0.92740995
Madhupur Tract,2022-01-01,0.2659805,-7.293849402829197,-15.186346068052073,0.7038,22.610000000000014,0.0,0.0,9.1,1.3,0.17247097,0.530303,18.092083231608115,18.47773386637374,10,19,1.8543341
Northern and Eastern Hills,2022-01-01,0.27876192,-6.500292041477284,-13.661570219148434,0.8172,21.950000000000045,0.0,5.4349894523620605,17.6,2.4000000000000004,0.25474033,0.6513562,19.766004362560462,19.64283105759398,10,44,6.833596
Akhaura Terrace,2022-01-01,0.23962204,-8.102030344403676,-14.94474255956879,0.6712,23.83000000000004,0.0,0.0,13.4,1.6,0.2265943,0.5452992,17.815634663899743,18.27866625104633,10,20,6.139173
Active Tista Floodplain,2022-01-08,0.14318399,-5.886397055554509,-13.863706494007618,0.5488000000000001,22.05000000000001,7.220715522766113,3.705716371536255,8.5,0.8,0.093445644,0.34303266,18.67254536946615,17.507982599167633,40,33,1.3866117
Tista Meander Floodplain,2022-01-08,0.14298671,-8.644760106023138,-16.691149246899613,0.4492,21.890000000000043,6.300295829772949,4.648317337036133,8.3,0.6000000000000001,0.032371294,0.21282932,18.673998587472116,17.625635128929503,40,30,2.9639122
Lower Atrai Basin,2022-01-08,0.13584778,-11.026281980963006,-19.1803191366078,0.2117,21.930000000000007,0.0,6.558669567108154,13.3,0.2,0.34451497,0.575983,19.246775745210243,17.79281332833426,40,13,1.3783625
Lower Purnabhaba Floodplain,2022-01-08,0.17142473,-11.797894355856917,-19.214436086580704,0.2459,22.110000000000014,15.77348804473877,0.0,11.2,0.3,0.3457847,0.63453054,18.629018583751872,17.138342067173596,40,21,2.117609
Active Ganges Floodplain,2022-01-08,0.2503759,-14.904028673716454,-22.117765152798437,0.0163,20.890000000000043,6.494087219238281,0.0,11.9,0.1,0.06594005,0.2676604,19.53164135160904,17.718978227887874,80,10,5.383606
High Ganges River Floodplain,2022-01-08,0.22197819,-8.021381573350197,-16.079357624640508,0.4455,23.03000000000003,6.165030002593994,0.0,11.2,0.9,0.03688608,0.29268292,19.32019231887091,17.472000921340225,40,12,2.11251
Ganges Tidal Floodplain,2022-01-08,0.3330371,-9.490969576242616,-16.432350300384137,0.4401,24.510000000000048,0.0,3.1488494873046875,10.2,0.6000000000000001,-0.024071807,0.2120598,20.11795087541856,18.248158845447392,40,4,2.2087178
Eastern Surma-Kusiyara Floodplain,2022-01-08,0.21706268,-9.098133527056287,-16.490744998224965,0.4578,25.250000000000057,4.907719135284424,6.868342399597168,10.1,0.6000000000000001,-0.010339123,0.22466736,19.483708408900668,18.20809653145926,10,20,3.447917
Sylhet Basin,2022-01-08,0.21798803,-8.62156705329718,-18.31008695342668,0.5239,22.83000000000004,0.0,8.698440551757812,8.8,0.8,0.26992753,0.5853751,20.03781462169832,18.281396847679503,90,8,1.8543341
Northern and Eastern Piedmont Plains,2022-01-08,0.20758043,-8.671374370673753,-16.514481491941254,0.4177,22.77000000000004,5.355625152587891,6.781888484954834,7.6,0.5,0.22662678,0.5171138,19.78528020949591,17.970675586518837,40,6,1.0212765
Chittagong Coastal Plain,2022-01-08,0.16712503,-7.395448034296594,-14.061595412359278,0.6970000000000001,24.870000000000005,0.0,3.451063394546509,16.0,1.9,0.16695102,0.5118409,21.29195338657928,20.22441907610215,10,9,2.003672
Level Barind Tract,2022-01-08,0.12704128,-6.053393438818174,-14.504013750752089,0.5823,21.29000000000002,5.178198337554932,5.14426851272583,11.9,1.1,0.14616448,0.40610427,18.79318571544832,17.68270590645926,40,21,1.023255
High Barind Tract,2022-01-08,0.15196434,-10.216559748432177,-18.28521348453448,0.4222,21.650000000000038,0.0,5.140635967254639,11.1,0.6000000000000001,0.18001309,0.41905013,18.84804760160904,17.563332766578355,40,27,4.800704
North-Eastern Barind Tract,2022-01-08,0.11638574,-8.841323201513921,-16.9985406533079,0.5277000000000001,21.57000000000005,9.885946273803713,5.146103858947754,9.0,0.7000000000000001,0.05125587,0.287,18.71603727794832,17.707968648274743,40,28,0.92740995
Northern and Eastern Hills,2022-01-08,0.27724445,-6.608163798863062,-13.735506325977102,0.8172,22.930000000000007,0.0,0.0,23.0,3.2,0.2333419,0.62839675,20.593327549525668,19.766004362560462,10,44,6.833596
Akhaura Terrace,2022-01-08,0.22131771,-7.43938959520825,-14.18028527562701,0.6712,23.63000000000005,4.650981903076172,0.0,14.9,1.6,0.16694137,0.5036408,19.75403020949591,17.815634663899743,10,20,6.139173
Active Tista Floodplain,2022-01-15,0.12940085,-5.705259122719122,-13.239916670914116,0.5687,19.19000000000005,3.4439992904663086,7.220715522766113,9.4,0.7000000000000001,0.10123602,0.3523672,17.115956878662132,18.67254536946615,40,33,1.3866117
Tista Meander Floodplain,2022-01-15,0.11577312,-8.646163632923532,-16.767429189392317,0.4729,19.19000000000005,0.0,6.300295829772949,8.5,0.7000000000000001,0.096458524,0.30613378,16.954638054257373,18.673998587472116,40,30,2.9639122
Karatoya-Bangali Floodplain,2022-01-15,0.1035045,-8.25747035921273,-15.441176818183838,0.4128,21.590000000000032,7.30085277557373,5.1331987380981445,9.6,0.4,0.13468286,0.33417964,17.21593827747165,19.485905674525668,10,17,0.92740995
